"","edges","density","transitive","ttriple"
"1",1,0.5,0,0
"2",4,0.0952380952380952,0,0
"3",8,0.0727272727272727,0,0
"4",11,0.0523809523809524,0,0
"5",14,0.0457516339869281,0,0
"6",15,0.043859649122807,0,0
"7",18,0.038961038961039,0,0
"8",22,0.0366666666666667,1,1
"9",24,0.04,1,1
"10",26,0.037037037037037,1,1
"11",29,0.0357142857142857,2,2
"12",32,0.0344086021505376,3,3
"13",35,0.0331439393939394,3,3
"14",39,0.0277382645803698,3,3
"15",44,0.0268292682926829,4,4
"16",51,0.0257575757575757,6,6
"17",56,0.0259019426456984,7,7
"18",61,0.0259353741496599,10,10
"19",74,0.024025974025974,13,13
"20",76,0.0222092343658679,13,13
"21",80,0.0218579234972677,14,14
"22",84,0.0215053763440861,14,14
"23",86,0.0206730769230769,14,14
"24",87,0.0202797202797203,14,14
"25",89,0.0189684569479966,14,14
"26",90,0.0186335403726708,14,14
"27",92,0.0175038051750381,14,14
"28",94,0.0174009626064421,15,15
"29",98,0.0171929824561403,16,16
"30",104,0.0173160173160173,18,18
"31",105,0.016613924050633,18,18
"32",106,0.016358024691358,18,18
"33",106,0.016358024691358,18,18
"34",111,0.0167118337850045,21,21
"35",112,0.0164560681751396,21,21
"36",112,0.0164560681751396,21,21
"37",113,0.0162076878944349,21,21
"38",117,0.0163865546218487,24,24
"39",117,0.0163865546218487,24,24
"40",118,0.0161422708618331,24,24
"41",119,0.0159048382785352,24,24
"42",121,0.0158045977011494,25,25
"43",121,0.0158045977011494,25,25
"44",124,0.015832482124617,25,25
"45",125,0.015605493133583,25,25
"46",125,0.015605493133583,25,25
"47",126,0.0153846153846153,25,25
"48",127,0.0148433847592333,25,25
"49",127,0.0148433847592333,25,25
"50",128,0.0146419583619309,25,25
"51",131,0.0146696528555431,27,27
"52",131,0.0146696528555431,27,27
"53",131,0.0146696528555431,27,27
"54",132,0.0144736842105263,27,27
"55",132,0.0144736842105263,27,27
"56",132,0.0144736842105263,27,27
"57",132,0.0144736842105263,27,27
"58",133,0.0142826460481099,27,27
"59",133,0.0142826460481099,27,27
"60",133,0.0142826460481099,27,27
"61",135,0.0142015569114244,28,28
"62",135,0.0142015569114244,28,28
"63",138,0.0142238713667285,29,29
"64",138,0.0142238713667285,29,29
"65",158,0.0147498132935027,34,34
"66",158,0.0147498132935027,34,34
"67",159,0.0142857142857143,34,34
"68",159,0.0142857142857143,34,34
"69",160,0.0141068594604127,34,34
"70",160,0.0141068594604127,34,34
"71",161,0.0139321564555209,34,34
"72",165,0.0140163098878696,37,37
"73",166,0.0138448707256046,37,37
"74",168,0.0137592137592137,38,38
"75",169,0.0135939510939511,38,38
"76",169,0.0135939510939511,38,38
"77",170,0.0134323640960809,38,38
