"","edges","density","transitive","ttriple"
"172",266,0.00971157356699525,70,70
"173",266,0.00971157356699525,70,70
"174",267,0.00963133973017819,70,70
"175",267,0.00963133973017819,70,70
"176",267,0.00963133973017819,70,70
"177",267,0.00963133973017819,70,70
"178",271,0.00965925292272599,74,74
"179",271,0.00965925292272599,74,74
"180",271,0.00965925292272599,74,74
"181",272,0.00958016342631728,74,74
"182",272,0.00958016342631728,74,74
"183",272,0.00958016342631728,74,74
"184",272,0.00958016342631728,74,74
"185",272,0.00958016342631728,74,74
"186",272,0.00958016342631728,74,74
"187",272,0.00958016342631728,74,74
"188",272,0.00958016342631728,74,74
"189",272,0.00958016342631728,74,74
"190",272,0.00958016342631728,74,74
"191",273,0.00950226244343894,74,74
"192",273,0.00950226244343894,74,74
"193",280,0.00963192294461647,80,80
"194",280,0.00963192294461647,80,80
"195",280,0.00963192294461647,80,80
"196",281,0.00955392356861142,80,80
"197",281,0.00955392356861142,80,80
"198",281,0.00955392356861142,80,80
"199",282,0.00947708025272214,80,80
"200",282,0.00947708025272214,80,80
"201",283,0.00940136867982194,80,80
"202",283,0.00940136867982194,80,80
"203",284,0.00932676518883418,80,80
"204",284,0.00932676518883418,80,80
"205",284,0.00932676518883418,80,80
"206",286,0.00928571428571429,81,81
"207",286,0.00928571428571429,81,81
"208",286,0.00928571428571429,81,81
"209",290,0.00920459594997781,83,83
"210",290,0.00920459594997781,83,83
"211",293,0.0091959073504488,85,85
"212",293,0.0091959073504488,85,85
"213",312,0.00957642725598519,112,112
"214",313,0.00950154817558138,112,112
"215",313,0.00950154817558138,112,112
"216",314,0.00942773073920623,112,112
"217",314,0.00942773073920623,112,112
"218",315,0.00935495367070562,112,112
"219",318,0.0093419506462985,115,115
"220",318,0.0093419506462985,115,115
"221",321,0.00932868352223188,117,117
"222",321,0.00932868352223188,117,117
"223",321,0.00932868352223188,117,117
"224",321,0.00932868352223188,117,117
"225",321,0.00932868352223188,117,117
"226",321,0.00932868352223188,117,117
"227",321,0.00932868352223188,117,117
"228",321,0.00932868352223188,117,117
"229",321,0.00932868352223188,117,117
"230",321,0.00932868352223188,117,117
"231",323,0.00928641251221893,117,117
"232",330,0.00938673341677092,121,121
"233",335,0.00942812113024878,124,124
"234",335,0.00942812113024878,124,124
"235",338,0.00941241993873573,124,124
"236",341,0.00939652796913759,126,126
"237",343,0.00935318499127396,127,127
"238",343,0.00935318499127396,127,127
"239",345,0.00931023316062178,128,128
"240",348,0.00910518053375204,128,128
"241",352,0.00911633689008602,131,131
"242",352,0.00911633689008602,131,131
"243",352,0.00911633689008602,131,131
"244",352,0.00911633689008602,131,131
"245",352,0.00911633689008602,131,131
"246",352,0.00911633689008602,131,131
"247",352,0.00911633689008602,131,131
"248",352,0.00911633689008602,131,131
"249",352,0.00911633689008602,131,131
"250",352,0.00911633689008602,131,131
"251",352,0.00911633689008602,131,131
"252",352,0.00911633689008602,131,131
"253",352,0.00911633689008602,131,131
"254",352,0.00911633689008602,131,131
"255",352,0.00911633689008602,131,131
"256",352,0.00911633689008602,131,131
"257",352,0.00911633689008602,131,131
"258",352,0.00911633689008602,131,131
"259",352,0.00911633689008602,131,131
"260",352,0.00911633689008602,131,131
"261",354,0.00907552684202432,131,131
"262",354,0.00907552684202432,131,131
"263",354,0.00907552684202432,131,131
"264",354,0.00907552684202432,131,131
"265",354,0.00907552684202432,131,131
"266",356,0.00903507436170759,131,131
"267",356,0.00903507436170759,131,131
"268",356,0.00903507436170759,131,131
"269",356,0.00903507436170759,131,131
"270",356,0.00903507436170759,131,131
"271",357,0.00896984924623115,131,131
"272",357,0.00896984924623115,131,131
"273",358,0.00890547263681594,131,131
"274",363,0.00894044628343431,133,133
"275",363,0.00894044628343431,133,133
"276",366,0.00883801796580701,133,133
"277",366,0.00883801796580701,133,133
"278",367,0.00877570540411288,133,133
"279",371,0.00878522377456789,135,135
"280",371,0.00878522377456789,135,135
